PROJECT;FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUILD_FAIL
scikit-learn;./scikit-learn\examples\compose\plot_column_transformer_mixed_types.py;189;89;42;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\compose\plot_compare_reduction.py;108;33;24;0;0;0.0;0.0;0;0;1;7;0
scikit-learn;./scikit-learn\examples\compose\plot_digits_pipe.py;70;9;15;0;0;0.0;0.0;0;0;1;13;0
scikit-learn;./scikit-learn\examples\compose\plot_feature_union.py;43;7;18;0;0;0.0;0.0;0;0;1;7;0
scikit-learn;./scikit-learn\examples\compose\plot_transformed_target.py;192;54;41;1;0;2.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\examples\covariance\plot_covariance_estimation.py;132;55;27;0;0;0.0;0.0;0;0;1;11;0
scikit-learn;./scikit-learn\examples\covariance\plot_lw_vs_oas.py;93;6;15;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\covariance\plot_mahalanobis_distances.py;183;52;33;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\covariance\plot_robust_vs_empirical_covariance.py;167;14;22;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\covariance\plot_sparse_cov.py;132;15;26;0;0;0.0;0.0;0;0;4;8;0
scikit-learn;./scikit-learn\examples\cross_decomposition\plot_compare_cross_decomposition.py;145;29;29;0;0;0.0;0.0;0;0;1;10;0
scikit-learn;./scikit-learn\examples\cross_decomposition\plot_pcr_vs_pls.py;146;50;23;0;0;0.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\datasets\plot_random_multilabel_dataset.py;88;11;21;1;0;4.0;0.0;0;0;2;10;0
scikit-learn;./scikit-learn\examples\decomposition\plot_faces_decomposition.py;288;136;47;1;0;5.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\decomposition\plot_ica_blind_source_separation.py;64;25;21;0;0;0.0;0.0;0;0;3;7;0
scikit-learn;./scikit-learn\examples\decomposition\plot_ica_vs_pca.py;89;12;26;1;0;2.0;0.0;0;0;3;9;0
scikit-learn;./scikit-learn\examples\decomposition\plot_image_denoising.py;156;25;36;1;0;3.0;0.0;0;1;5;9;0
scikit-learn;./scikit-learn\examples\decomposition\plot_incremental_pca.py;49;2;14;0;0;0.0;0.0;0;0;4;11;0
scikit-learn;./scikit-learn\examples\decomposition\plot_kernel_pca.py;140;74;23;0;0;0.0;0.0;0;0;1;7;0
scikit-learn;./scikit-learn\examples\decomposition\plot_pca_iris.py;88;43;17;0;0;0.0;0.0;0;0;1;7;0
